Nama Restoran,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Variasi Makanan
"Pawone, Hartono Mall Yogyakarta","Hartono Mall, Lantai 2 No. 12 & 15, Jl. Ring Road Utara, Depok, Yogyakarta",30000,4.7,Sambel Teri
"Pawone, Hartono Mall Yogyakarta","Hartono Mall, Lantai 2 No. 12 & 15, Jl. Ring Road Utara, Depok, Yogyakarta",30000,4.7,Teh Panas
"Sop Buntut Bu Menuk, Kaliurang KM 7.8","Jl. Kaliurang KM 7.8, Ngaglik, Yogyakarta",25000,4.7,Wedang Jahe
"Sop Buntut Bu Menuk, Kaliurang KM 7.8","Jl. Kaliurang KM 7.8, Ngaglik, Yogyakarta",25000,4.7,Sop Buntut
"Sop Buntut Bu Menuk, Kaliurang KM 7.8","Jl. Kaliurang KM 7.8, Ngaglik, Yogyakarta",25000,4.7,Bakso
"Momogie Kitchen, Lempongsari","Jl. Lempongsari Raya Baru No 4, Ngaglik, Yogyakarta",13000,4.5,Wedang Jahe Sereh
"Momogie Kitchen, Lempongsari","Jl. Lempongsari Raya Baru No 4, Ngaglik, Yogyakarta",13000,4.5,Rice Bowl Telor
"Momogie Kitchen, Lempongsari","Jl. Lempongsari Raya Baru No 4, Ngaglik, Yogyakarta",13000,4.5,Sate Ati Ampela
"Wedang Ronde Barokah II, Depok","Jl. Anggrek Sambilegi Kidul Maguwoharjo, Depok, Yogyakarta",10000,4.7,Wedang Jahe
"Wedang Ronde Barokah II, Depok","Jl. Anggrek Sambilegi Kidul Maguwoharjo, Depok, Yogyakarta",10000,4.7,Wedang Ronde
"Wedang Ronde Barokah II, Depok","Jl. Anggrek Sambilegi Kidul Maguwoharjo, Depok, Yogyakarta",10000,4.7,Tahu Petis
"Mirota Bakery & Resto, Gondokusuman","Jl. Faridan Muridan Noto No.7, Gondokusuman, Yogyakarta",79000,4.8,Sayur Lodeh
"Mirota Bakery & Resto, Gondokusuman","Jl. Faridan Muridan Noto No.7, Gondokusuman, Yogyakarta",79000,4.8,Bakmi Goreng
"Mirota Bakery & Resto, Gondokusuman","Jl. Faridan Muridan Noto No.7, Gondokusuman, Yogyakarta",79000,4.8,Soto Ayam
"Nasi Pecel Khas Blitar Bu Iwied, Kasihan","Jl. Ambarbinangun 1 RT05/Sub 2, Kalipakis, Tirtonirmolo, Kasihan, Bantul, D.I Yogyakarta",8000,4.8,Sayur Lodeh
"Nasi Pecel Khas Blitar Bu Iwied, Kasihan","Jl. Ambarbinangun 1 RT05/Sub 2, Kalipakis, Tirtonirmolo, Kasihan, Bantul, D.I Yogyakarta",8000,4.8,Sambel Terong
"Nasi Pecel Khas Blitar Bu Iwied, Kasihan","Jl. Ambarbinangun 1 RT05/Sub 2, Kalipakis, Tirtonirmolo, Kasihan, Bantul, D.I Yogyakarta",8000,4.8,Teh Panas
Omah Kluwih,Jalan Alam Asri No 14 Area Sawah Sidokarto Kec Godean Kabupaten Sleman Daerah Istimewa Yogyakarta,13000,4.8,Sayur Lodeh
Omah Kluwih,Jalan Alam Asri No 14 Area Sawah Sidokarto Kec Godean Kabupaten Sleman Daerah Istimewa Yogyakarta,13000,4.8,Es Jeruk
Omah Kluwih,Jalan Alam Asri No 14 Area Sawah Sidokarto Kec Godean Kabupaten Sleman Daerah Istimewa Yogyakarta,13000,4.8,Tempe Mendoan
"One Stop Parking, Patangpuluhan","Jl. Patangpuluhan, Gang Gambir Sawit WB.3/227, Wirobrajan, Yogyakarta",31000,4.8,Sayur Lodeh
"One Stop Parking, Patangpuluhan","Jl. Patangpuluhan, Gang Gambir Sawit WB.3/227, Wirobrajan, Yogyakarta",31000,4.8,Aneka Nasi
"One Stop Parking, Patangpuluhan","Jl. Patangpuluhan, Gang Gambir Sawit WB.3/227, Wirobrajan, Yogyakarta",31000,4.8,Ayam & Bebek
