Nama Restoran,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Variasi Makanan
Soto Blengong Sawah,"Jl. Soragan No. 13, Bantul, Yogyakarta",10000,4.5,Soto Blengong Ayam
Soto Blengong Sawah,"Jl. Soragan No. 13, Bantul, Yogyakarta",10000,4.5,Soto Daging
Ayam Geprek Bu Rum,"Jl. Wulung, Papringan, Caturtunggal, Depok, Sleman, Yogyakarta",15000,4.6,Ayam Geprek
Ayam Geprek Bu Rum,"Jl. Wulung, Papringan, Caturtunggal, Depok, Sleman, Yogyakarta",15000,4.6,Nasi
Ayam Geprek Bu Rum,"Jl. Wulung, Papringan, Caturtunggal, Depok, Sleman, Yogyakarta",15000,4.6,Sayur
Ayam Geprek Bu Rum,"Jl. Wulung, Papringan, Caturtunggal, Depok, Sleman, Yogyakarta",15000,4.6,Kuah Tongseng
Ayam Geprek Bu Nanik,"Jl. Wulung, Papringan, Caturtunggal, Sleman, Yogyakarta",15000,4.5,Ayam Geprek Kuah Tongseng
Ayam Geprek Bu Nanik,"Jl. Wulung, Papringan, Caturtunggal, Sleman, Yogyakarta",15000,4.5,Sayur
Ayam Geprek Bu Nanik,"Jl. Wulung, Papringan, Caturtunggal, Sleman, Yogyakarta",15000,4.5,Telur
Ayam Geprek dan Susu (Preksu),"Jl. Samironobaru No. 1C, Caturtunggal, Sleman, Yogyakarta",16000,4.3,Ayam Geprek
Ayam Geprek dan Susu (Preksu),"Jl. Samironobaru No. 1C, Caturtunggal, Sleman, Yogyakarta",16000,4.3,Topping Keju
Ayam Geprek dan Susu (Preksu),"Jl. Samironobaru No. 1C, Caturtunggal, Sleman, Yogyakarta",16000,4.3,Susu Spesial Preksu
Ayam Geprek Bu Made,"Jl. Wulung No. 26, Papringan, Caturtunggal, Depok, Sleman, Yogyakarta",15000,4.4,Ayam Geprek Sambal Terasi
Ayam Geprek Mbok Moro,"Jl. Bantul No. 31, Suryodiningratan, Mantrijeron, Yogyakarta",15000,4.5,Ayam Geprek
